modul,level,regional,witel,data_points,n_test,MAE,RMSE,MAPE,sMAPE,MASE,Skill_vs_Naive,KPI_pass,trained_at
fulfillment_rate,witel,REG-1,RIAU,43,6,0.0003,0.0005,0.0003,0.0003,29627.4811,0.0,LULUS,2026-05-21 09:29:33
fulfillment_rate,witel,REG-1,SUMBAGSEL,42,6,0.0001,0.0002,0.0001,0.0001,10426.8394,0.0,LULUS,2026-05-21 09:29:42
fulfillment_rate,witel,REG-1,SUMBAR JAMBI,45,6,0.0001,0.0001,0.0001,0.0001,9155.2734,0.0,LULUS,2026-05-21 09:29:51
fulfillment_rate,witel,REG-1,SUMUT,44,6,0.0004,0.0005,0.0004,0.0004,35603.8421,0.0,LULUS,2026-05-21 09:30:02
fulfillment_rate,witel,REG-2,BANDUNG,43,6,0.0003,0.0004,0.0003,0.0003,27974.4476,0.0,LULUS,2026-05-21 09:30:24
fulfillment_rate,witel,REG-2,BANTEN,41,5,0.001,0.0016,0.001,0.001,101013.1789,0.0,LULUS,2026-05-21 09:30:36
fulfillment_rate,witel,REG-2,BEKASI KARAWANG,44,6,0.0003,0.0003,0.0003,0.0003,26321.4111,0.0,LULUS,2026-05-21 09:30:46
fulfillment_rate,witel,REG-2,JAKARTA CENTRUM,43,6,0.0002,0.0003,0.0002,0.0002,21107.9911,0.0,LULUS,2026-05-21 09:30:57
fulfillment_rate,witel,REG-2,JAKARTA INNER,41,5,0.0002,0.0003,0.0002,0.0002,18310.5469,0.0,LULUS,2026-05-21 09:31:05
fulfillment_rate,witel,REG-2,JAKARTA OUTER,41,5,0.0006,0.0011,0.0006,0.0006,55694.5801,0.0,LULUS,2026-05-21 09:31:15
fulfillment_rate,witel,REG-2,PRIANGAN BARAT,43,6,0.0005,0.0005,0.0005,0.0005,46539.3066,0.0,LULUS,2026-05-21 09:31:23
fulfillment_rate,witel,REG-2,PRIANGAN TIMUR,41,5,0.0003,0.0004,0.0003,0.0003,29144.2877,0.0,LULUS,2026-05-21 09:31:32
fulfillment_rate,witel,REG-3,BALI,43,6,0.0009,0.0011,0.0009,0.0009,85322.0641,0.0,LULUS,2026-05-21 09:31:50
fulfillment_rate,witel,REG-3,JATIM BARAT,41,5,0.0003,0.0004,0.0003,0.0003,28991.6992,0.0,LULUS,2026-05-21 09:31:57
fulfillment_rate,witel,REG-3,JATIM TIMUR,45,6,0.0002,0.0002,0.0002,0.0002,15513.1027,0.0,LULUS,2026-05-21 09:32:06
fulfillment_rate,witel,REG-3,NUSA TENGGARA,45,6,0.0003,0.0005,0.0003,0.0003,32679.2389,0.0,LULUS,2026-05-21 09:32:13
fulfillment_rate,witel,REG-3,SEMARANG JATENG UTARA,44,6,0.0003,0.0003,0.0003,0.0003,25812.7839,0.0,LULUS,2026-05-21 09:32:24
fulfillment_rate,witel,REG-3,SOLO JATENG TIMUR,41,5,0.0004,0.0006,0.0004,0.0004,41198.7305,0.0,LULUS,2026-05-21 09:32:32
fulfillment_rate,witel,REG-3,SURAMADU,42,6,0.0001,0.0001,0.0001,0.0001,7629.3945,0.0,LULUS,2026-05-21 09:32:40
fulfillment_rate,witel,REG-3,YOGYA JATENG SELATAN,47,6,0.0002,0.0004,0.0002,0.0002,21489.4608,0.0,LULUS,2026-05-21 09:32:49
fulfillment_rate,witel,REG-4,BALIKPAPAN,42,6,0.0001,0.0002,0.0001,0.0001,14495.8496,0.0,LULUS,2026-05-21 09:33:05
fulfillment_rate,witel,REG-4,KALBAR,41,5,0.0006,0.0011,0.0006,0.0006,64544.6766,0.0,LULUS,2026-05-21 09:33:13
fulfillment_rate,witel,REG-4,KALSELTENG,41,5,0.0001,0.0001,0.0001,0.0001,7324.219,0.0,LULUS,2026-05-21 09:33:20
fulfillment_rate,witel,REG-4,KALTIMTARA,42,6,0.0002,0.0003,0.0002,0.0002,21362.3047,0.0,LULUS,2026-05-21 09:33:28
fulfillment_rate,witel,REG-5,PAPUA,42,6,0.0003,0.0004,0.0003,0.0003,31280.5176,0.0,LULUS,2026-05-21 09:33:44
fulfillment_rate,witel,REG-5,PAPUA BARAT,41,5,0.0004,0.0006,0.0004,0.0004,40588.3795,0.0,LULUS,2026-05-21 09:33:57
fulfillment_rate,witel,REG-5,SULBAGSEL,44,6,0.0004,0.0006,0.0004,0.0004,41325.888,0.0,LULUS,2026-05-21 09:34:09
fulfillment_rate,witel,REG-5,SULBAGTENG,43,6,0.0001,0.0002,0.0001,0.0001,14114.3799,0.0,LULUS,2026-05-21 09:34:17
fulfillment_rate,witel,REG-5,SUMALUT,43,6,0.0006,0.0009,0.0006,0.0006,63069.6595,0.0,LULUS,2026-05-21 09:34:25
order_hsi,nasional,NASIONAL,-,55,6,3431.4119,3904.083,15.1347,16.498,0.5207,0.0627,LULUS,2026-05-20 23:43:10
order_hsi,regional,REG-1,-,45,6,611.8161,755.7621,13.8546,14.8426,0.5605,0.2146,LULUS,2026-05-21 00:13:34
order_hsi,regional,REG-2,-,45,6,734.3056,882.3076,13.0758,12.6012,0.4925,0.1646,LULUS,2026-05-21 00:16:20
order_hsi,regional,REG-3,-,53,6,1016.0219,1268.9714,14.4162,15.4876,0.4098,0.1578,LULUS,2026-05-21 00:16:36
order_hsi,regional,REG-4,-,43,6,463.7055,501.7882,19.1583,21.2654,0.8378,0.2228,LULUS,2026-05-21 00:16:53
order_hsi,regional,REG-5,-,46,6,322.5856,383.5913,13.1093,13.3403,0.5011,0.2359,LULUS,2026-05-21 00:17:08
order_hsi,witel,REG-1,ACEH,42,6,137.1332,175.1882,21.0537,24.221,0.8145,-0.0171,LULUS,2026-05-20 22:59:51
order_hsi,witel,REG-1,LAMPUNG BENGKULU,43,6,129.1261,163.939,21.3959,24.8834,0.7689,0.3489,LULUS,2026-05-21 00:19:49
order_hsi,witel,REG-1,RIAU,43,6,116.3383,136.9315,15.0814,14.2857,0.5805,0.0224,LULUS,2026-05-21 00:20:08
order_hsi,witel,REG-1,SUMBAGSEL,42,6,61.6826,74.7006,13.2285,14.2845,0.5275,0.1794,LULUS,2026-05-21 00:20:23
order_hsi,witel,REG-1,SUMBAR JAMBI,45,6,204.7242,280.8819,22.9805,26.2292,1.0335,-0.0607,LULUS,2026-05-21 00:20:38
order_hsi,witel,REG-1,SUMUT,44,6,132.5851,159.802,12.6169,13.2941,0.5961,0.1687,LULUS,2026-05-21 00:20:56
order_hsi,witel,REG-2,BANDUNG,43,6,98.8536,113.675,16.652,16.3686,0.4285,-0.0923,LULUS,2026-05-21 00:21:10
order_hsi,witel,REG-2,BANTEN,41,5,85.1725,109.292,10.7499,10.1303,0.6485,0.4044,LULUS,2026-05-21 00:21:26
order_hsi,witel,REG-2,BEKASI KARAWANG,44,6,73.4404,107.4029,9.2138,8.5676,0.3398,0.4117,LULUS,2026-05-21 00:21:43
order_hsi,witel,REG-2,JAKARTA CENTRUM,43,6,59.2488,72.1125,14.9325,13.3603,0.463,0.4172,LULUS,2026-05-21 00:21:58
order_hsi,witel,REG-2,JAKARTA INNER,41,5,61.3561,73.6997,14.2513,13.0045,0.5294,0.3431,LULUS,2026-05-21 00:22:13
order_hsi,witel,REG-2,JAKARTA OUTER,41,5,103.7582,150.7812,18.1897,15.077,0.5484,0.3868,LULUS,2026-05-21 00:22:28
order_hsi,witel,REG-2,PRIANGAN BARAT,43,6,135.24,168.0396,14.1957,14.5282,0.6488,0.3288,LULUS,2026-05-21 00:22:43
order_hsi,witel,REG-2,PRIANGAN TIMUR,41,5,129.8796,165.7621,12.2736,13.1653,0.4623,0.5161,LULUS,2026-05-21 00:22:59
order_hsi,witel,REG-3,BALI,43,6,70.8644,85.3049,23.8157,21.2822,0.7139,-0.0076,LULUS,2026-05-21 00:23:16
order_hsi,witel,REG-3,JATIM BARAT,41,5,247.104,278.2353,19.6726,20.0323,0.656,0.2741,LULUS,2026-05-21 00:23:30
order_hsi,witel,REG-3,JATIM TIMUR,45,6,157.3298,210.0842,15.6777,14.3965,0.2839,0.3765,LULUS,2026-05-21 00:23:51
order_hsi,witel,REG-3,NUSA TENGGARA,45,6,88.5993,113.0505,13.7062,13.8954,0.3773,0.0882,LULUS,2026-05-21 00:24:09
order_hsi,witel,REG-3,SEMARANG JATENG UTARA,44,6,106.3369,133.6289,13.3369,14.8439,0.445,0.3205,LULUS,2026-05-21 00:24:25
order_hsi,witel,REG-3,SOLO JATENG TIMUR,41,5,162.4054,177.8927,23.8245,22.8955,1.2027,0.1663,LULUS,2026-05-21 00:24:40
order_hsi,witel,REG-3,SURAMADU,42,6,107.7272,147.1998,9.1334,9.507,0.3798,0.3225,LULUS,2026-05-21 00:24:56
order_hsi,witel,REG-3,YOGYA JATENG SELATAN,47,6,168.1514,182.9969,19.7429,19.3419,0.6568,0.2018,LULUS,2026-05-21 00:25:17
order_hsi,witel,REG-4,BALIKPAPAN,42,6,196.7466,245.5884,34.0195,42.766,1.7682,0.1217,GAGAL,2026-05-21 12:26:31
order_hsi,witel,REG-4,KALBAR,41,5,50.419,57.549,13.1722,12.7373,0.4808,0.4137,LULUS,2026-05-21 00:25:50
order_hsi,witel,REG-4,KALSELTENG,41,5,73.6607,99.8026,10.476,10.7995,0.5392,0.3693,LULUS,2026-05-21 00:26:03
order_hsi,witel,REG-4,KALTIMTARA,42,6,236.8042,251.2433,30.4149,36.5253,1.2968,0.0973,GAGAL,2026-05-21 12:05:22
order_hsi,witel,REG-5,PAPUA,42,6,25.971,30.9447,13.1129,12.761,0.5347,0.0321,LULUS,2026-05-21 00:26:31
order_hsi,witel,REG-5,PAPUA BARAT,41,5,26.4195,35.6598,11.6566,12.9068,0.4341,0.4564,LULUS,2026-05-21 00:26:44
